,,,ANALYSIS OF MOVIE AND TV SHOWS,,,,,
,,,,,,,,
Count of Show_id,Column Labels,,,,,,,
Row Labels,Movie,TV Show,Grand Total,,,,,
2015,398,162,560,,,,,
2016,658,244,902,,,,,
2017,767,265,1032,,,,,
2018,767,380,1147,,,,,
2019,633,397,1030,,,,,
2020,517,436,953,,,,,
2021,277,315,592,,,,,
Grand Total,4017,2199,6216,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,COMPARISION OF SHOWS TO NEXT YEAR,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Row Labels,Count of Show_id,Count of Show_id2,,,,,,
2015,560,-37.92%,,,,,,
2016,902,-12.60%,,,,,,
2017,1032,-10.03%,,,,,,
2018,1147,11.36%,,,,,,
2019,1030,8.08%,,,,,,
2020,953,60.98%,,,,,,
2021,592,,,,,,,
Grand Total,6216,,,,,,,
